Table 1,district,name,date,ver,link
32,中西,楊哲安議員,2018-06-07,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1247/young_chit_on_jeremy_20180607.pdf
33,中西,楊哲安議員,2018-06-07,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1247/young_chit_on_jeremy_20180607_text.pdf
34,中西,楊哲安議員,2018-09-13,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1247/young_chit_on_jeremy_20180913.pdf
35,中西,楊哲安議員,2018-09-13,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1247/young_chit_on_jeremy_20180913_text.pdf
36,中西,楊哲安議員,2018-12-19,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1247/yeung_chit_on_20181219.pdf
37,中西,楊哲安議員,2018-12-19,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1247/yeung_chit_on_20181219_text.pdf
38,中西,"陳財喜議員, MH, JP",2016-01-26,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/525/chan_choi_hi_20160126.pdf
39,中西,"陳財喜議員, MH, JP",2016-01-26,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/525/chan_choi_hi_20160126_text.pdf
40,中西,"張國鈞議員, JP",2016-01-20,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/528/cheung_kwok_kwan_20160120.pdf
41,中西,"張國鈞議員, JP",2016-01-20,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/528/cheung_kwok_kwan_20160120_text.pdf
42,中西,"甘乃威議員, MH",2016-01-12,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/530/kam_nai_wai_20160112.pdf
43,中西,"甘乃威議員, MH",2016-01-12,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/530/kam_nai_wai_20160112_text.pdf
44,中西,"甘乃威議員, MH",2016-05-16,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/530/kam_nai_wai_20160516.pdf
45,中西,"甘乃威議員, MH",2016-05-16,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/530/kam_nai_wai_20160516_text.pdf
46,中西,"甘乃威議員, MH",2017-09-12,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/530/kam_nai_wai_20170912.pdf
47,中西,"甘乃威議員, MH",2017-09-12,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/530/kam_nai_wai_20170912_text.pdf
48,中西,"甘乃威議員, MH",2018-01-03,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/530/kam_nai_wai_20180103.pdf
49,中西,"甘乃威議員, MH",2018-01-03,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/530/kam_nai_wai_20180103_text.pdf
50,中西,"盧懿杏議員, MH",2016-01-21,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/532/lo_yee_hang_20160121.pdf
51,中西,"盧懿杏議員, MH",2016-01-21,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/532/lo_yee_hang_20160121_text.pdf
52,中西,吳兆康議員,2016-01-29,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/881/ng_siu_hong_20160129_R1.pdf
53,中西,吳兆康議員,2016-01-29,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/881/ng_siu_hong_20160129_text.pdf
54,中西,吳兆康議員,2017-01-20,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/881/ng_siu_hong_20170120.pdf
55,中西,吳兆康議員,2017-01-20,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/881/ng_siu_hong_20170120_text.pdf
56,中西,楊學明議員,2016-01-13,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/883/yeung_hok_ming_20160113.pdf
57,中西,楊學明議員,2016-01-13,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/883/yeung_hok_ming_20160113_text.pdf
58,中西,楊學明議員,2018-11-22,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/883/yeung_hok_ming_20181122.pdf
59,中西,楊學明議員,2018-11-22,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/883/yeung_hok_ming_20181122_text.pdf
60,中西,張嘉恩女士,2018-10-09,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1390/cheung_ka_yan_20181009.pdf
61,中西,張嘉恩女士,2018-10-09,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1390/cheung_ka_yan_20181009_text.pdf
62,中西,周錦輝先生,2018-02-01,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1278/chow_kam_fai_20180201.pdf
63,中西,周錦輝先生,2018-02-01,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1278/chow_kam_fai_20180201_text.pdf
64,中西,馮家亮先生,2018-02-05,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1353/fung_kar_leung_20180205.pdf
65,中西,馮家亮先生,2018-02-05,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1353/fung_kar_leung_20180205_text.pdf
66,中西,劉天正先生,2018-02-06,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1288/lau_tin_ching_timothy_20180206.pdf
67,中西,劉天正先生,2018-02-06,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1288/lau_tin_ching_timothy_20180206_text.pdf
68,中西,劉天正先生,2018-10-28,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1288/lau_tin_ching_timothy_20181028.pdf
69,中西,劉天正先生,2018-10-28,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1288/lau_tin_ching_timothy_20181028_text.pdf
70,中西,李文陞先生,2016-02-25,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1018/lee_man_sing_20160225.pdf
71,中西,李文陞先生,2016-02-25,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1018/lee_man_sing_20160225_text.pdf
72,中西,李文陞先生,2018-02-01,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1018/lee_man_sing_20180201.pdf
73,中西,李文陞先生,2018-02-01,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1018/lee_man_sing_20180201_text.pdf
74,中西,呂鴻賓先生,2018-02-02,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1277/lui_hung_pan_20180202.pdf
75,中西,呂鴻賓先生,2018-02-02,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1277/lui_hung_pan_20180202_text.pdf
76,中西,"吳永恩先生, MH",2016-02-28,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1026/ng_wing_yan_20160228.pdf
77,中西,"吳永恩先生, MH",2016-02-28,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1026/ng_wing_yan_20160228_text.pdf
78,中西,"吳永恩先生, MH",2018-02-13,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1026/ng_wing_yan_20180213.pdf
79,中西,"吳永恩先生, MH",2018-02-13,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1026/ng_wing_yan_20180213_text.pdf
80,中西,施永泰先生,2018-02-02,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1276/shih_jan_noel_20180202.pdf
81,中西,施永泰先生,2018-02-02,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1276/shih_jan_noel_20180202_text.pdf
82,中西,施永泰先生,2018-11-01,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1276/shih_jan_noel_20181101.pdf
83,中西,施永泰先生,2018-11-01,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1276/shih_jan_noel_20181101_text.pdf
84,中西,黃美卿女士,2018-02-01,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1280/wong_mi_hing_shirley_20180201.pdf
85,中西,黃美卿女士,2018-02-01,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1280/wong_mi_hing_shirley_20180201_text.pdf
86,中西,張啟昕女士,2016-02-25,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1015/cheung_kai_yin_20160225.pdf
87,中西,張啟昕女士,2016-02-25,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1015/cheung_kai_yin_20160225_text.pdf
88,中西,張啟昕女士,2016-06-23,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1015/cheung_kai_yin_20160623.pdf
89,中西,張啟昕女士,2016-06-23,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1015/cheung_kai_yin_20160623_text.pdf
90,中西,張啟昕女士,2018-02-01,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1015/cheung_kai_yin_20180201.pdf
91,中西,張啟昕女士,2018-02-01,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1015/cheung_kai_yin_20180201_text.pdf
92,中西,鍾紹瓊女士,2018-02-02,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1287/chung_siu_king_20180202.pdf
93,中西,鍾紹瓊女士,2018-02-02,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1287/chung_siu_king_20180202_text.pdf
94,中西,何致宏先生,2016-02-23,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1022/ho_chi_wong_20160223.pdf
95,中西,何致宏先生,2016-02-23,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1022/ho_chi_wong_20160223_text.pdf
96,中西,何致宏先生,2018-02-01,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1022/ho_chi_wong_20180201.pdf
97,中西,何致宏先生,2018-02-01,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1022/ho_chi_wong_20180201_text.pdf
98,中西,何致宏先生,2018-12-13,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1022/ho_chi_wong_20181213.pdf
99,中西,何致宏先生,2018-12-13,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1022/ho_chi_wong_20181213_text.pdf
100,中西,李澄幸先生,2018-02-01,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1275/lee_ching_hang_20180201.pdf
101,中西,李澄幸先生,2018-02-01,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1275/lee_ching_hang_20180201_text.pdf
102,中西,李偉強先生,2016-02-29,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1023/lee_wai_keung_20160229.pdf
103,中西,李偉強先生,2016-02-29,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1023/lee_wai_keung_20160229_text.pdf
104,中西,李偉強先生,2018-02-09,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1023/lee_wai_keung_20180209.pdf
105,中西,李偉強先生,2018-02-09,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1023/lee_wai_keung_20180209_text.pdf
106,中西,莫淦森先生,2018-08-10,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1364/mok_kam_sum_20180810.pdf
107,中西,莫淦森先生,2018-08-10,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1364/mok_kam_sum_20180810_text.pdf
108,中西,岑智行先生,2016-02-25,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1016/sham_chi_hang_christopher_20160225.pdf
109,中西,岑智行先生,2016-02-25,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1016/sham_chi_hang_christopher_20160225_text.pdf
110,中西,岑智行先生,2018-02-09,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1016/sham_chi_hang_christopher_20180209.pdf
111,中西,岑智行先生,2018-02-09,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1016/sham_chi_hang_christopher_20180209_text.pdf
112,中西,黃健菁女士,2018-02-01,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1279/wong_kin_ching_20180201.pdf
113,中西,黃健菁女士,2018-02-01,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1279/wong_kin_ching_20180201_text.pdf
114,中西,"陳捷貴議員, BBS, JP",2016-01-12,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/524/chan_chit_kwai_stephen_20160112.pdf
115,中西,"陳捷貴議員, BBS, JP",2016-01-12,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/524/chan_chit_kwan_stephen_20160112_text.pdf
116,中西,"陳財喜議員, MH, JP",2016-01-26,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/525/chan_choi_hi_20160126.pdf
117,中西,"陳財喜議員, MH, JP",2016-01-26,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/525/chan_choi_hi_20160126_text.pdf
118,中西,鄭麗琼議員,2016-01-25,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/527/cheng_lai_king_20160125.pdf
119,中西,鄭麗琼議員,2016-01-25,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/527/cheng_lai_king_20160125_text.pdf
120,中西,鄭麗琼議員,2017-05-02,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/527/cheng_lai_king_20170502.pdf
121,中西,鄭麗琼議員,2017-05-02,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/527/cheng_lai_king_20170502_text.pdf
122,中西,鄭麗琼議員,2017-12-08,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/527/cheng_lai_king_20171208.pdf
123,中西,鄭麗琼議員,2017-12-08,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/527/cheng_lai_king_20171208_text.pdf
124,中西,鄭麗琼議員,2019-02-28,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/527/cheng_lai_king_20190228.pdf
125,中西,鄭麗琼議員,2019-02-28,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/527/cheng_lai_king_20190228_text.pdf
126,中西,"張國鈞議員, JP",2016-01-20,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/528/cheung_kwok_kwan_20160120.pdf
127,中西,"張國鈞議員, JP",2016-01-20,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/528/cheung_kwok_kwan_20160120_text.pdf
128,中西,許智峯議員,2016-01-15,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/529/hui_chi_fung_20160115_r1.pdf
129,中西,許智峯議員,2016-01-15,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/529/hui_chi_fung_20160115_text.pdf
130,中西,許智峯議員,2017-02-27,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/529/hui_chi_fung_20170227.pdf
131,中西,許智峯議員,2017-02-27,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/529/hui_chi_fung_20170227_text.pdf
132,中西,"甘乃威議員, MH",2016-01-12,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/530/kam_nai_wai_20160112.pdf
133,中西,"甘乃威議員, MH",2016-01-12,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/530/kam_nai_wai_20160112_text.pdf
134,中西,"甘乃威議員, MH",2016-05-16,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/530/kam_nai_wai_20160516.pdf
135,中西,"甘乃威議員, MH",2016-05-16,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/530/kam_nai_wai_20160516_text.pdf
136,中西,"甘乃威議員, MH",2017-09-12,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/530/kam_nai_wai_20170912.pdf
137,中西,"甘乃威議員, MH",2017-09-12,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/530/kam_nai_wai_20170912_text.pdf
138,中西,"甘乃威議員, MH",2018-01-03,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/530/kam_nai_wai_20180103.pdf
139,中西,"甘乃威議員, MH",2018-01-03,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/530/kam_nai_wai_20180103_text.pdf
140,中西,"李志恒議員, MH",2016-01-25,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/531/lee_chi_hang_sidney_20160125.pdf
141,中西,"李志恒議員, MH",2016-01-25,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/531/lee_chi_hang_sidney_20160125_text.pdf
142,中西,"李志恒議員, MH",2019-03-08,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/531/lee_chi_hang_sidney_20190308.pdf
143,中西,"李志恒議員, MH",2019-03-08,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/531/lee_chi_hang_sidney_20190308_text.pdf
144,中西,"李志恒議員, MH",2019-04-30,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/531/lee_chi_hang_sidney_20190430.pdf
145,中西,"李志恒議員, MH",2019-04-30,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/531/lee_chi_hang_sidney_20190430_text.pdf
146,中西,"盧懿杏議員, MH",2016-01-21,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/532/lo_yee_hang_20160121.pdf
147,中西,"盧懿杏議員, MH",2016-01-21,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/532/lo_yee_hang_20160121_text.pdf
148,中西,伍凱欣議員,2017-12-27,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1248/ng_hoi_yan_bonnie_20171227.pdf
149,中西,伍凱欣議員,2017-12-27,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1248/ng_hoi_yan_bonnie_20171227_text.pdf
150,中西,吳兆康議員,2016-01-29,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/881/ng_siu_hong_20160129_R1.pdf
151,中西,吳兆康議員,2016-01-29,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/881/ng_siu_hong_20160129_text.pdf
152,中西,吳兆康議員,2017-01-20,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/881/ng_siu_hong_20170120.pdf
153,中西,吳兆康議員,2017-01-20,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/881/ng_siu_hong_20170120_text.pdf
154,中西,楊開永議員,2016-01-20,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/882/yeung_hoi_wing_20160120.pdf
155,中西,楊開永議員,2016-01-20,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/882/yeung_hoi_wing_20160120_text.pdf
156,中西,楊學明議員,2016-01-13,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/883/yeung_hok_ming_20160113.pdf
157,中西,楊學明議員,2016-01-13,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/883/yeung_hok_ming_20160113_text.pdf
158,中西,楊學明議員,2018-11-22,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/883/yeung_hok_ming_20181122.pdf
159,中西,楊學明議員,2018-11-22,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/883/yeung_hok_ming_20181122_text.pdf
160,中西,楊哲安議員,2017-11-28,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1247/young_chit_on_jeremy_20171128.pdf
161,中西,楊哲安議員,2017-11-28,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1247/young_chit_on_jeremy_20171128_text.pdf.pdf
162,中西,楊哲安議員,2018-06-07,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1247/young_chit_on_jeremy_20180607.pdf
163,中西,楊哲安議員,2018-06-07,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1247/young_chit_on_jeremy_20180607_text.pdf
164,中西,楊哲安議員,2018-09-13,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1247/young_chit_on_jeremy_20180913.pdf
165,中西,楊哲安議員,2018-09-13,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1247/young_chit_on_jeremy_20180913_text.pdf
166,中西,楊哲安議員,2018-12-19,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1247/yeung_chit_on_20181219.pdf
167,中西,楊哲安議員,2018-12-19,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1247/yeung_chit_on_20181219_text.pdf
168,中西,張嘉恩女士,2018-10-09,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1390/cheung_ka_yan_20181009.pdf
169,中西,張嘉恩女士,2018-10-09,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1390/cheung_ka_yan_20181009_text.pdf
